timestamp,user_id,group,category,action,target_id,value,payload
2026-05-10T07:26:31.482Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,10,""
2026-05-10T07:26:31.958Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,11,""
2026-05-10T07:26:36.830Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,1,""
2026-05-10T07:26:36.845Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,2,""
2026-05-10T07:26:36.862Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,4,""
2026-05-10T07:26:36.879Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,6,""
2026-05-10T07:26:36.896Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,8,""
2026-05-10T07:26:36.912Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,29,""
2026-05-10T07:26:36.929Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,28,""
2026-05-10T07:26:36.952Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,27,""
2026-05-10T07:26:36.972Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,26,""
2026-05-10T07:26:36.998Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,25,""
2026-05-10T07:26:37.035Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,24,""
2026-05-10T07:26:37.113Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,23,""
2026-05-10T07:26:37.196Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,16,""
2026-05-10T07:26:37.479Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,17,""
2026-05-10T07:26:37.513Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,18,""
2026-05-10T07:26:37.762Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,17,""
2026-05-10T07:26:42.608Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,48,""
2026-05-10T07:26:43.009Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,52,""
2026-05-10T07:26:43.026Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,61,""
2026-05-10T07:26:43.310Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,46,""
2026-05-10T07:26:43.358Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,4,""
2026-05-10T07:26:43.376Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,7,""
2026-05-10T07:26:43.391Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,9,""
2026-05-10T07:26:43.409Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,36,""
2026-05-10T07:26:43.424Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,35,""
2026-05-10T07:26:43.508Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,36,""
2026-05-10T07:26:43.526Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,38,""
2026-05-10T07:26:43.542Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,39,""
2026-05-10T07:26:43.558Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,41,""
2026-05-10T07:26:43.574Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,42,""
2026-05-10T07:26:43.692Z,182094b2-cb44-4d47-bcdf-004656abc385,experiment,EDITOR,COPY_TEXT,,43,""
